country,region,region_code,start_date,end_date,days,year,week,population,total_deaths,covid_deaths,expected_deaths,excess_deaths,non_covid_deaths,covid_deaths_per_100k,excess_deaths_per_100k,excess_deaths_pct_change,zscore_total_deaths,normalized_total_deaths,month
Hungary,Hungary,0,2021-02-15,2021-02-21,7,2021,7,9709786,2927.0,593,2908.14967228465,18.8503277153486,2334.0,6.10724067451126,0.19413741678085,0.0064818973710321,-0.2636261412203801,-0.2668998034491771,2
Hungary,Hungary,0,2021-02-22,2021-02-28,7,2021,8,9709786,3167.0,675,2857.48300561798,309.516994382016,2492.0,6.95174950302715,3.18768090647946,0.108318052556565,-0.24079044669013672,-0.22100076367566177,2
Hungary,Hungary,0,2021-03-01,2021-03-07,7,2021,9,9709786,3274.0,899,2852.06629213483,421.933707865167,2375.0,9.2587004492169,4.345448065129,0.147939656602212,-0.23060953287873656,-0.20053744177663618,3
Hungary,Hungary,0,2021-03-08,2021-03-14,7,2021,10,9709786,3808.0,1079,2770.26629213483,1037.73370786517,2729.0,11.1125003166908,10.6875033895203,0.374597095886211,-0.17980011254894512,-0.09841207828056467,3
Hungary,Hungary,0,2021-03-15,2021-03-21,7,2021,11,9709786,4305.0,1310,2667.46629213483,1637.53370786517,2995.0,13.491543479949,16.8647765034695,0.613891059352288,-0.13251119512589954,-0.0033628167495767442,3
Hungary,Hungary,0,2021-03-22,2021-03-28,7,2021,12,9709786,4569.0,1710,2593.46629213483,1975.53370786517,2859.0,17.6110987410021,20.3458006990594,0.76173486960534,-0.10739193114263186,0.047126127001290076,3
Hungary,Hungary,0,2021-03-29,2021-04-04,7,2021,13,9709786,4535.0,1743,2549.86629213484,1985.13370786516,2792.0,17.950962050039,20.4446700253246,0.778524628522045,-0.11062698786774967,0.040623763033375414,3
Hungary,Hungary,0,2021-04-05,2021-04-11,7,2021,14,9709786,4141.0,1702,2468.86629213483,1672.13370786517,2439.0,17.5287076357811,17.2211180335506,0.677288078820694,-0.1481155863882325,-0.03472716059481219,4
Hungary,Hungary,0,2021-04-12,2021-04-18,7,2021,15,9709786,3532.0,1767,2436.46629213483,1095.53370786517,1765.0,18.1981353657022,11.2827791247425,0.449640412182869,-0.20606116125872498,-0.15119597402010726,4
Hungary,Hungary,0,2021-04-19,2021-04-25,7,2021,16,9709786,3251.0,1441,2388.46629213483,862.533707865166,1810.0,14.8406978279439,8.88313818517901,0.361124505171153,-0.23279795360455155,-0.2049360997549314,4
Hungary,Hungary,0,2021-04-26,2021-05-02,7,2021,17,9709786,2969.0,1177,2395.06629213483,573.933707865165,1792.0,12.1217913556488,5.91087906432917,0.239631658526494,-0.25962989467758746,-0.2588674714888119,4
Hungary,Hungary,0,2021-05-03,2021-05-09,7,2021,18,9709786,2723.0,800,2325.26629213483,397.733707865169,1923.0,8.23911052210625,4.09621497183531,0.17104867051593,-0.2830364815710869,-0.3059139872566651,5
Hungary,Hungary,0,2021-05-10,2021-05-16,7,2021,19,9709786,2551.0,573,2272.86629213483,278.133707865168,1978.0,5.9012629114586,2.86446794878042,0.122371346184174,-0.29940206265109465,-0.338808299094351,5
Hungary,Hungary,0,2021-05-17,2021-05-23,7,2021,20,9709786,2389.0,344,2230.06629213483,158.933707865168,2045.0,3.54281752450569,1.63684048098658,0.0712686023844717,-0.3148161564590089,-0.3697901509414738,5
Hungary,Hungary,0,2021-05-24,2021-05-30,7,2021,21,9709786,2334.0,209,2234.06629213483,99.9337078651661,2125.0,2.15246762390026,1.02920607998123,0.0447317558198668,-0.32004933645552297,-0.3803086808895711,5
Hungary,Hungary,0,2021-05-31,2021-06-06,7,2021,22,9709786,2415.0,126,2244.86629213483,170.133707865165,2289.0,1.29765990723174,1.75218802829604,0.0757879025852251,-0.31234228955156584,-0.3648177549660097,5
Hungary,Hungary,0,2021-06-07,2021-06-13,7,2021,23,9709786,2374.0,50,2220.46629213483,153.533707865166,2324.0,0.514944407631641,1.58122648496235,0.0691448045885703,-0.3162433873671491,-0.37265884092731855,6
Hungary,Hungary,0,2021-06-14,2021-06-20,7,2021,24,9709786,2365.0,46,2250.26629213483,114.733707865166,2319.0,0.47374885502111,1.18162962464019,0.0509867246672935,-0.3170997259120332,-0.37438005491882537,6
Hungary,Hungary,0,2021-06-21,2021-06-27,7,2021,25,9709786,2677.0,30,2208.26629213484,468.733707865164,2647.0,0.308966644578985,4.82743603067219,0.212263217318783,-0.2874133230227169,-0.31471130321325547,6
Hungary,Hungary,0,2021-06-28,2021-07-04,7,2021,26,9709786,2389.0,12,2151.66629213483,237.333707865166,2377.0,0.123586657831594,2.44427331215298,0.110302284667802,-0.3148161564590089,-0.3697901509414738,6
